Name,Age,Gender,Instagram,YouTube,WhatsApp,Snapchat,Facebook,Most_Used_Platform,Purpose
Student_1,24,Female,142,221,48,14,1,Facebook,Education
Student_2,21,Female,170,41,16,53,34,Instagram,Education
Student_3,22,Male,28,98,43,59,86,Facebook,Socializing
Student_4,24,Female,35,6,91,7,80,Snapchat,Productivity
Student_5,20,Male,12,143,29,52,89,Snapchat,Entertainment
Student_6,22,Female,159,89,92,59,7,Snapchat,News
Student_7,22,Female,70,111,45,4,92,Snapchat,Productivity
Student_8,24,Male,85,59,116,67,25,WhatsApp,News
Student_9,19,Female,27,112,5,5,73,YouTube,News
Student_10,20,Male,65,1,98,46,89,WhatsApp,Entertainment
Student_11,24,Female,169,128,104,54,33,WhatsApp,Socializing
Student_12,20,Male,44,47,36,39,6,WhatsApp,Productivity
Student_13,20,Male,61,139,23,51,67,YouTube,News
Student_14,22,Female,133,196,92,15,57,Facebook,News
Student_15,21,Female,27,36,112,12,74,YouTube,Entertainment
Student_16,20,Male,27,159,45,29,28,Facebook,Productivity
Student_17,23,Female,107,8,52,18,35,Snapchat,News
Student_18,22,Female,43,232,94,16,88,YouTube,Entertainment
Student_19,19,Female,83,98,98,62,20,YouTube,Socializing
Student_20,21,Male,29,146,59,18,35,Facebook,Entertainment
Student_21,23,Male,74,47,96,57,9,Instagram,Productivity
Student_22,23,Male,127,207,115,54,72,Instagram,Socializing
Student_23,19,Male,91,130,62,89,23,WhatsApp,News
Student_24,21,Male,128,147,84,89,63,Snapchat,Productivity
Student_25,22,Male,120,151,31,61,98,Instagram,Productivity
Student_26,18,Male,26,53,86,22,48,Snapchat,Productivity
Student_27,21,Male,120,119,32,8,98,WhatsApp,Entertainment
Student_28,19,Male,115,160,66,11,35,WhatsApp,Socializing
Student_29,23,Female,2,151,17,0,81,Facebook,Productivity
Student_30,22,Male,102,115,24,57,95,Instagram,Education
Student_31,21,Female,154,74,105,0,23,Snapchat,News
Student_32,18,Female,136,112,94,33,22,Snapchat,Socializing
Student_33,18,Female,61,199,53,47,61,YouTube,Education
Student_34,20,Male,164,163,57,88,95,Facebook,Education
Student_35,20,Male,50,165,66,0,36,WhatsApp,News
Student_36,24,Male,171,103,103,15,11,Snapchat,Education
Student_37,19,Male,151,83,45,60,54,Snapchat,Socializing
Student_38,21,Female,58,226,23,63,12,Facebook,Productivity
Student_39,21,Male,117,111,113,62,22,Facebook,Education
Student_40,24,Male,159,216,31,68,88,Instagram,Productivity
Student_41,23,Male,95,98,46,21,98,Facebook,Socializing
Student_42,23,Male,179,152,85,66,29,WhatsApp,Entertainment
Student_43,24,Male,112,92,22,75,16,Snapchat,Productivity
Student_44,23,Female,61,145,65,25,61,Instagram,Entertainment
Student_45,20,Male,51,127,26,15,83,YouTube,Productivity
Student_46,21,Female,11,109,105,50,88,Facebook,Education
Student_47,24,Male,38,81,1,85,85,Instagram,Productivity
Student_48,21,Female,129,193,89,56,12,YouTube,Entertainment
Student_49,18,Male,130,53,16,28,58,WhatsApp,News
Student_50,20,Male,112,162,103,77,18,Instagram,Education
Student_51,22,Female,100,207,32,68,48,YouTube,Education
Student_52,20,Female,112,188,8,46,99,Instagram,Socializing
Student_53,24,Female,80,168,42,61,11,WhatsApp,News
Student_54,22,Male,112,227,117,68,60,YouTube,Education
Student_55,18,Female,1,160,47,75,18,Instagram,Productivity
Student_56,24,Male,129,67,38,15,75,YouTube,Education
Student_57,19,Male,53,32,92,89,8,WhatsApp,News
Student_58,21,Female,86,141,41,89,70,Instagram,Socializing
Student_59,18,Female,128,20,118,47,27,Instagram,Education
Student_60,21,Male,146,47,25,84,77,Snapchat,Entertainment
Student_61,23,Male,125,147,98,38,94,Snapchat,Productivity
Student_62,19,Female,129,127,49,32,51,Snapchat,Productivity
Student_63,19,Female,52,135,24,22,82,Facebook,Productivity
Student_64,18,Female,171,134,23,9,15,YouTube,Entertainment
Student_65,19,Male,159,194,12,68,68,Facebook,Entertainment
Student_66,22,Male,159,144,59,33,98,Facebook,Entertainment
Student_67,19,Male,67,127,6,51,11,YouTube,Education
Student_68,21,Male,122,32,56,9,24,YouTube,News
Student_69,21,Male,144,175,35,18,51,Snapchat,Productivity
Student_70,24,Male,37,203,44,57,84,Snapchat,Education
Student_71,21,Female,23,186,19,0,99,Facebook,News
Student_72,24,Male,68,114,64,68,52,Instagram,News
Student_73,21,Male,115,213,7,3,22,Snapchat,Productivity
Student_74,22,Male,97,118,109,15,15,Snapchat,Entertainment
Student_75,24,Female,138,21,15,23,56,Facebook,Entertainment
Student_76,20,Male,143,237,13,79,38,YouTube,News
Student_77,23,Male,96,157,75,1,52,YouTube,Socializing
Student_78,18,Female,123,37,114,31,41,Facebook,Entertainment
Student_79,21,Male,69,229,86,83,57,Instagram,News
Student_80,19,Male,92,108,14,23,38,Facebook,Education
Student_81,21,Male,2,50,91,11,13,WhatsApp,Entertainment
Student_82,19,Male,147,181,97,49,94,Facebook,Entertainment
Student_83,23,Male,163,7,65,34,4,Facebook,Education
Student_84,23,Female,146,26,31,32,34,Facebook,Education
Student_85,23,Female,89,26,86,32,86,Snapchat,Education
Student_86,19,Female,146,225,62,60,92,Facebook,Education
Student_87,21,Male,147,20,85,50,74,WhatsApp,Entertainment
Student_88,23,Male,95,29,50,42,17,WhatsApp,Entertainment
Student_89,22,Male,51,96,24,11,75,Instagram,Education
Student_90,24,Female,160,27,57,66,8,YouTube,News
Student_91,19,Male,167,110,62,64,73,YouTube,Education
